ticker_or_identifier,name,cik,form_type,filed_at,period_of_report,accession_no,primary_document,primary_doc_description,items,url
0001681348,VivoPower PLC,1681348,6-K,2022-07-29,2022-07-29,0001437749-22-018069,vpip20220630b_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774922018069/vpip20220630b_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2022-06-30,2022-06-30,0001437749-22-016231,vpip20220630_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774922016231/vpip20220630_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2022-06-29,2022-06-29,0001437749-22-016113,vpip20220629_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774922016113/vpip20220629_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2022-06-13,2022-06-13,0001437749-22-014826,vpip20220612_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774922014826/vpip20220612_6k.htm
0001681348,VivoPower PLC,1681348,6-K/A,2022-06-13,2022-02-24,0001437749-22-014810,vpip20220610_6ka.htm,FORM 6-K/A,,https://www.sec.gov/Archives/edgar/data/1681348/000143774922014810/vpip20220610_6ka.htm
0001681348,VivoPower PLC,1681348,6-K,2022-05-20,2022-05-20,0001437749-22-013155,vpip20220520_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774922013155/vpip20220520_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2022-04-29,2022-04-29,0001437749-22-010163,vpip20220429_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774922010163/vpip20220429_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2022-04-04,2022-04-04,0001437749-22-008114,vpip20220404_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774922008114/vpip20220404_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2022-04-01,2022-04-01,0001437749-22-007957,vpip20220401_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774922007957/vpip20220401_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2022-02-24,2022-02-24,0001437749-22-004362,vpip20220224_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774922004362/vpip20220224_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2022-02-24,2022-02-24,0001437749-22-004342,vpip20220222b_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774922004342/vpip20220222b_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2022-02-16,2022-02-16,0001437749-22-003567,vpip20220216_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774922003567/vpip20220216_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2022-02-08,2022-02-08,0001437749-22-002667,vpip20220208_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774922002667/vpip20220208_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2022-02-04,2022-02-04,0001437749-22-002439,vpip20220204_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774922002439/vpip20220204_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2021-12-08,2021-12-08,0001437749-21-028038,vpip20211208_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921028038/vpip20211208_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2021-12-07,2021-12-07,0001437749-21-027980,vpip20211207_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921027980/vpip20211207_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2021-11-12,2021-11-30,0001437749-21-026513,vpip20211111_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921026513/vpip20211111_6k.htm
0001681348,VivoPower PLC,1681348,424B4,2021-11-12,,0001437749-21-026510,vpip20211110_424b4.htm,FORM 424B4,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921026510/vpip20211110_424b4.htm
0001681348,VivoPower PLC,1681348,6-K,2021-10-26,2021-10-26,0001437749-21-024322,vpip20211026_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921024322/vpip20211026_6k.htm
0001681348,VivoPower PLC,1681348,UPLOAD,2021-10-22,,0000000000-21-012828,filename1.pdf,,,https://www.sec.gov/Archives/edgar/data/1681348/000000000021012828/filename1.pdf
0001681348,VivoPower PLC,1681348,6-K,2021-10-21,2021-10-31,0001437749-21-024020,vpip20211021_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921024020/vpip20211021_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2021-10-21,2021-10-21,0001437749-21-024019,vpip20211021b_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921024019/vpip20211021b_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2021-09-23,2021-09-23,0001437749-21-022542,vpip20210923_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921022542/vpip20210923_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2021-09-16,2021-09-16,0001437749-21-022237,vpip20210916_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921022237/vpip20210916_6k.htm
0001681348,VivoPower PLC,1681348,20-F,2021-09-15,2021-06-30,0001437749-21-022141,vpip20210331_20f.htm,FORM 20-F,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921022141/vpip20210331_20f.htm
0001681348,VivoPower PLC,1681348,6-K,2021-09-14,2021-09-14,0001437749-21-022088,vpip20210914_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921022088/vpip20210914_6k.htm
0001681348,VivoPower PLC,1681348,CORRESP,2021-09-07,,0001437749-21-021601,filename1.htm,,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921021601/filename1.htm
0001681348,VivoPower PLC,1681348,CORRESP,2021-08-25,,0001437749-21-021007,filename1.htm,,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921021007/filename1.htm
0001681348,VivoPower PLC,1681348,UPLOAD,2021-08-23,,0000000000-21-010295,filename1.pdf,,,https://www.sec.gov/Archives/edgar/data/1681348/000000000021010295/filename1.pdf
0001681348,VivoPower PLC,1681348,6-K,2021-08-23,2021-08-23,0001437749-21-020642,vpip20210823b_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921020642/vpip20210823b_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2021-08-23,2021-08-23,0001437749-21-020641,vpip20210823_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921020641/vpip20210823_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2021-07-20,2021-07-20,0001437749-21-017181,vpip20210720_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921017181/vpip20210720_6k.htm
0001681348,VivoPower PLC,1681348,UPLOAD,2021-07-09,,0000000000-21-008521,filename1.pdf,,,https://www.sec.gov/Archives/edgar/data/1681348/000000000021008521/filename1.pdf
0001681348,VivoPower PLC,1681348,6-K,2021-07-02,2021-07-02,0001437749-21-016291,vpip20210702_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921016291/vpip20210702_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2021-06-29,2021-06-29,0001437749-21-015888,vpip20210629_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921015888/vpip20210629_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2021-06-24,2021-06-24,0001437749-21-015526,vpip20210624_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921015526/vpip20210624_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2021-06-23,2021-06-23,0001437749-21-015424,vpip20210623_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921015424/vpip20210623_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2021-06-22,2021-06-22,0001437749-21-015323,vpip20210622_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921015323/vpip20210622_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2021-06-17,2021-06-17,0001437749-21-015003,vpip20210617_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921015003/vpip20210617_6k.htm
0001681348,VivoPower PLC,1681348,CORRESP,2021-06-02,,0001437749-21-013893,filename1.htm,,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921013893/filename1.htm
0001681348,VivoPower PLC,1681348,6-K,2021-06-02,2021-06-30,0001437749-21-013892,vpip20210602b_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921013892/vpip20210602b_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2021-06-02,2021-06-02,0001437749-21-013891,vpip20210602_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921013891/vpip20210602_6k.htm
